,id,x,y,z,visibility,x_px,y_px
0,0,0.5116133093833923,0.09847670793533325,-0.596785843372345,0.9999232292175293,204,59
1,1,0.5249583721160889,0.08137252926826477,-0.5438936352729797,0.9998131394386292,209,48
2,2,0.5341720581054688,0.08057144284248352,-0.543981671333313,0.999783456325531,213,48
3,3,0.5447491407394409,0.08014088869094849,-0.5439316630363464,0.9997270703315735,217,48
4,4,0.4925381541252136,0.08437436819076538,-0.5407400727272034,0.9998527765274048,197,50
5,5,0.4825616776943207,0.08540904521942139,-0.5407620668411255,0.9998379945755005,193,51
6,6,0.47235721349716187,0.08608990907669067,-0.5408022403717041,0.9998345375061035,188,51
7,7,0.5628448128700256,0.0886240005493164,-0.21063509583473206,0.9997608065605164,225,53
8,8,0.45878493785858154,0.095252126455307,-0.19142454862594604,0.9998195767402649,183,57
9,9,0.5340879559516907,0.11757650971412659,-0.46741312742233276,0.9998691082000732,213,70
10,10,0.49453166127204895,0.11950996518135071,-0.46257659792900085,0.9998852014541626,197,71
11,11,0.6548563241958618,0.19315651059150696,-0.07861980050802231,0.9996215105056763,261,115
12,12,0.3946532905101776,0.2055947482585907,-0.04532420635223389,0.999850869178772,157,123
13,13,0.6692373156547546,0.3180774450302124,-0.3505319356918335,0.9750300049781799,267,190
14,14,0.3885299563407898,0.33500608801841736,-0.32341134548187256,0.9918237328529358,155,201
15,15,0.48019173741340637,0.3052642047405243,-0.7784766554832458,0.9629260301589966,192,183
16,16,0.5951198935508728,0.3109281659126282,-0.7276012301445007,0.9804229736328125,238,186
17,17,0.4462830424308777,0.31217098236083984,-0.8974658846855164,0.9212504625320435,178,187
18,18,0.644758939743042,0.3039392828941345,-0.8417656421661377,0.946998655796051,257,182
19,19,0.4375091791152954,0.2987578213214874,-0.8930558562278748,0.9150026440620422,175,179
20,20,0.64776211977005,0.28275054693222046,-0.8210981488227844,0.938261866569519,259,169
21,21,0.44992274045944214,0.2953394055366516,-0.7841503620147705,0.8820927739143372,179,177
22,22,0.6317422389984131,0.2848590016365051,-0.7243960499763489,0.9070120453834534,252,170
23,23,0.615973711013794,0.488456666469574,-0.03110305592417717,0.9995421171188354,246,293
24,24,0.4530507028102875,0.48909449577331543,0.03141449764370918,0.9996801614761353,181,293
25,25,0.6254485845565796,0.6956630349159241,-0.03167784959077835,0.9948862195014954,250,417
26,26,0.43165624141693115,0.7061707973480225,0.06790941208600998,0.9976809024810791,172,423
27,27,0.6042759418487549,0.8876368999481201,0.41077372431755066,0.9916734099388123,241,532
28,28,0.44990384578704834,0.9057575464248657,0.45788973569869995,0.9960578680038452,179,543
29,29,0.5772128105163574,0.9195144772529602,0.43129363656044006,0.9157153964042664,230,551
30,30,0.4805995523929596,0.9346604347229004,0.47309207916259766,0.9319553971290588,192,560
31,31,0.6605470180511475,0.9502187967300415,0.05381227657198906,0.9882023930549622,264,570
32,32,0.37783318758010864,0.9759799242019653,0.09304100275039673,0.992028534412384,151,585
